,IDSV,IDMON,DIEM
340,7.0,0.0,4.5
341,7.0,1.0,4.0
342,7.0,2.0,4.5
343,7.0,3.0,3.5
344,7.0,4.0,3.5
345,7.0,5.0,2.5
346,7.0,6.0,2.45
347,7.0,7.0,2.65
348,7.0,8.0,4.0
349,7.0,9.0,3.5
350,7.0,10.0,3.0
351,7.0,11.0,4.0
352,7.0,12.0,4.0
353,7.0,13.0,3.0
354,7.0,14.0,4.1
355,7.0,15.0,3.5
356,7.0,17.0,3.0
357,7.0,18.0,2.75
358,7.0,19.0,3.75
359,7.0,20.0,2.5
360,7.0,21.0,3.0
361,7.0,22.0,4.0
362,7.0,23.0,3.2
363,7.0,24.0,3.7
364,7.0,25.0,4.3
365,7.0,26.0,2.5
366,7.0,27.0,3.75
367,7.0,28.0,3.0
368,7.0,29.0,2.65
369,7.0,30.0,3.85
370,7.0,31.0,2.65
371,7.0,32.0,3.6
372,7.0,33.0,3.5
373,7.0,34.0,2.55
374,7.0,35.0,3.5
375,7.0,36.0,3.4
376,7.0,37.0,4.5
377,7.0,38.0,2.55
378,7.0,39.0,3.2
379,7.0,40.0,3.6
380,7.0,41.0,3.8
381,7.0,42.0,3.35
382,7.0,43.0,2.5
383,7.0,44.0,2.8
384,7.0,45.0,3.5
385,7.0,46.0,4.0
386,7.0,47.0,3.85
387,7.0,48.0,4.15
388,7.0,49.0,3.8
389,7.0,51.0,4.5
390,8.0,0.0,4.0
391,8.0,1.0,3.5
392,8.0,2.0,4.0
393,8.0,3.0,3.0
394,8.0,4.0,3.0
395,8.0,5.0,2.5
396,8.0,6.0,3.0
397,8.0,7.0,3.5
398,8.0,8.0,4.5
399,8.0,9.0,4.0
400,8.0,10.0,3.0
401,8.0,11.0,3.5
402,8.0,12.0,5.0
403,8.0,13.0,3.5
404,8.0,14.0,3.5
405,8.0,15.0,4.15
406,8.0,17.0,3.5
407,8.0,18.0,3.0
408,8.0,19.0,3.0
409,8.0,20.0,3.0
410,8.0,21.0,3.4
411,8.0,22.0,3.25
412,8.0,23.0,3.2
413,8.0,24.0,4.0
414,8.0,25.0,3.8
415,8.0,26.0,3.5
416,8.0,27.0,3.9
417,8.0,28.0,3.9
418,8.0,29.0,3.15
419,8.0,30.0,3.5
420,8.0,31.0,3.0
421,8.0,32.0,4.2
422,8.0,33.0,2.65
423,8.0,34.0,3.2
424,8.0,35.0,3.85
425,8.0,36.0,2.8
426,8.0,37.0,3.4
427,8.0,38.0,4.0
428,8.0,39.0,4.1
429,8.0,40.0,4.05
430,8.0,41.0,2.65
431,8.0,42.0,3.5
432,8.0,43.0,2.95
433,8.0,44.0,3.65
434,8.0,45.0,3.75
435,8.0,46.0,3.35
436,8.0,47.0,4.15
437,8.0,48.0,4.85
438,8.0,49.0,3.9
439,8.0,51.0,4.15
440,9.0,0.0,4.0
441,9.0,1.0,3.0
442,9.0,2.0,3.5
443,9.0,3.0,3.5
444,9.0,4.0,3.5
445,9.0,5.0,3.5
446,9.0,6.0,2.5
447,9.0,7.0,3.0
448,9.0,8.0,4.0
449,9.0,9.0,3.5
450,9.0,10.0,3.5
451,9.0,11.0,3.5
452,9.0,12.0,4.5
453,9.0,13.0,3.0
454,9.0,14.0,4.0
455,9.0,15.0,3.9
456,9.0,17.0,3.9
457,9.0,18.0,3.0
458,9.0,19.0,3.0
459,9.0,20.0,2.5
460,9.0,21.0,3.0
461,9.0,22.0,3.45
462,9.0,23.0,3.2
463,9.0,24.0,3.75
464,9.0,25.0,3.75
465,9.0,26.0,3.25
466,9.0,27.0,3.0
467,9.0,28.0,3.5
468,9.0,29.0,3.25
469,9.0,30.0,2.5
470,9.0,31.0,3.0
471,9.0,32.0,4.3
472,9.0,33.0,2.1
473,9.0,34.0,2.7
474,9.0,35.0,2.65
475,9.0,36.0,3.35
476,9.0,37.0,3.35
477,9.0,38.0,2.65
478,9.0,39.0,3.5
479,9.0,40.0,3.7
480,9.0,41.0,2.6
481,9.0,42.0,3.3
482,9.0,43.0,3.05
483,9.0,44.0,4.5
484,9.0,45.0,4.0
485,9.0,46.0,4.05
486,9.0,47.0,4.0
487,9.0,48.0,4.5
488,9.0,49.0,3.85
489,9.0,51.0,4.5
490,10.0,0.0,4.5
491,10.0,1.0,3.5
492,10.0,2.0,4.0
493,10.0,3.0,3.0
494,10.0,4.0,3.0
495,10.0,5.0,2.5
496,10.0,6.0,2.9
497,10.0,7.0,2.5
498,10.0,8.0,4.5
499,10.0,9.0,4.0
500,10.0,10.0,3.5
501,10.0,11.0,3.0
502,10.0,12.0,4.5
503,10.0,13.0,2.5
504,10.0,14.0,2.5
505,10.0,15.0,4.0
506,10.0,17.0,4.0
507,10.0,18.0,2.9
508,10.0,19.0,3.5
509,10.0,20.0,3.15
510,10.0,21.0,3.4
511,10.0,22.0,4.0
512,10.0,23.0,3.45
513,10.0,24.0,3.8
514,10.0,25.0,3.3
515,10.0,26.0,3.15
516,10.0,27.0,3.65
517,10.0,28.0,3.15
518,10.0,29.0,3.25
519,10.0,30.0,3.5
520,10.0,31.0,3.15
521,10.0,32.0,4.2
522,10.0,33.0,4.0
523,10.0,34.0,2.6
524,10.0,35.0,3.75
525,10.0,36.0,3.1
526,10.0,37.0,3.6
527,10.0,38.0,3.45
528,10.0,39.0,3.9
529,10.0,40.0,3.85
530,10.0,41.0,3.7
531,10.0,42.0,2.5
532,10.0,43.0,3.2
533,10.0,44.0,3.15
534,10.0,45.0,3.75
535,10.0,46.0,4.35
536,10.0,47.0,4.5
537,10.0,48.0,4.0
538,10.0,49.0,4.5
539,10.0,51.0,4.5
540,11.0,0.0,3.5
541,11.0,1.0,3.0
542,11.0,2.0,3.5
543,11.0,3.0,3.5
544,11.0,4.0,3.0
545,11.0,6.0,2.5
546,11.0,7.0,3.0
547,11.0,8.0,4.0
548,11.0,9.0,3.5
549,11.0,10.0,3.0
550,11.0,11.0,3.0
551,11.0,12.0,4.5
552,11.0,13.0,3.0
553,11.0,14.0,3.5
554,11.0,15.0,3.9
555,11.0,17.0,4.15
556,11.0,18.0,3.0
557,11.0,19.0,3.5
558,11.0,20.0,3.8
559,11.0,21.0,3.4
560,11.0,22.0,3.2
561,11.0,23.0,3.45
562,11.0,24.0,3.2
563,11.0,25.0,3.9
564,11.0,26.0,3.5
565,11.0,27.0,2.75
566,11.0,28.0,3.0
567,11.0,29.0,2.9
568,11.0,30.0,2.5
569,11.0,31.0,3.0
570,11.0,32.0,3.7
571,11.0,33.0,3.5
572,11.0,34.0,2.7
573,11.0,35.0,3.1
574,11.0,36.0,3.0
575,11.0,37.0,3.35
576,11.0,38.0,2.8
577,11.0,39.0,3.5
578,11.0,40.0,3.7
579,11.0,41.0,3.7
580,11.0,42.0,3.5
581,11.0,43.0,2.5
582,11.0,44.0,4.5
583,11.0,45.0,4.0
584,11.0,46.0,4.05
585,11.0,47.0,4.0
586,11.0,48.0,4.0
587,11.0,49.0,4.2
588,11.0,51.0,4.65
589,12.0,0.0,3.5
590,12.0,1.0,3.5
591,12.0,2.0,4.0
592,12.0,3.0,3.0
593,12.0,4.0,3.5
594,12.0,6.0,2.55
595,12.0,7.0,2.55
596,12.0,8.0,3.5
597,12.0,9.0,3.5
598,12.0,10.0,3.5
599,12.0,11.0,3.0
600,12.0,12.0,4.5
601,12.0,13.0,3.0
602,12.0,14.0,3.0
603,12.0,15.0,3.65
604,12.0,17.0,4.15
605,12.0,18.0,3.0
606,12.0,19.0,3.0
607,12.0,20.0,3.15
608,12.0,21.0,3.4
609,12.0,22.0,3.5
610,12.0,23.0,3.45
611,12.0,24.0,3.4
612,12.0,25.0,3.55
613,12.0,26.0,3.4
614,12.0,27.0,3.0
615,12.0,28.0,3.65
616,12.0,29.0,2.75
617,12.0,30.0,3.3
618,12.0,31.0,3.0
619,12.0,32.0,4.2
620,12.0,33.0,3.5
621,12.0,34.0,3.45
622,12.0,35.0,2.9
623,12.0,36.0,3.7
624,12.0,37.0,3.5
625,12.0,38.0,2.95
626,12.0,39.0,3.4
627,12.0,40.0,4.1
628,12.0,41.0,3.2
629,12.0,42.0,2.8
630,12.0,43.0,3.05
631,12.0,44.0,3.65
632,12.0,45.0,4.0
633,12.0,46.0,2.85
634,12.0,47.0,4.0
635,12.0,48.0,4.0
636,12.0,49.0,2.9
637,12.0,51.0,4.75
638,13.0,0.0,4.5
639,13.0,1.0,3.5
640,13.0,2.0,5.0
641,13.0,3.0,3.5
642,13.0,4.0,4.0
643,13.0,5.0,4.0
644,13.0,6.0,5.0
645,13.0,7.0,3.5
646,13.0,8.0,4.5
647,13.0,9.0,4.0
648,13.0,10.0,3.0
649,13.0,11.0,3.5
650,13.0,12.0,4.5
651,13.0,13.0,3.5
652,13.0,14.0,3.5
653,13.0,15.0,3.75
654,13.0,17.0,3.65
655,13.0,18.0,4.25
656,13.0,19.0,4.5
657,13.0,20.0,3.25
658,13.0,21.0,3.4
659,13.0,22.0,3.55
660,13.0,23.0,3.3
661,13.0,24.0,3.8
662,13.0,25.0,3.95
663,13.0,26.0,4.0
664,13.0,27.0,4.25
665,13.0,28.0,3.75
666,13.0,29.0,3.5
667,13.0,30.0,2.65
668,13.0,31.0,4.0
669,13.0,32.0,4.3
670,13.0,33.0,4.0
671,13.0,34.0,3.2
672,13.0,35.0,3.85
673,13.0,36.0,3.15
674,13.0,37.0,3.5
675,13.0,38.0,2.7
676,13.0,39.0,3.05
677,13.0,40.0,4.0
678,13.0,41.0,2.85
679,13.0,42.0,4.85
680,13.0,43.0,3.8
681,13.0,44.0,4.5
682,13.0,45.0,4.5
683,13.0,46.0,4.2
684,13.0,47.0,4.15
685,13.0,50.0,4.75
686,13.0,51.0,4.45
687,14.0,0.0,4.0
688,14.0,1.0,3.0
689,14.0,2.0,3.5
690,14.0,3.0,3.5
691,14.0,4.0,3.5
692,14.0,5.0,3.0
693,14.0,6.0,2.5
694,14.0,7.0,2.5
695,14.0,8.0,4.5
696,14.0,9.0,3.5
697,14.0,10.0,3.5
698,14.0,11.0,3.0
699,14.0,12.0,4.0
700,14.0,13.0,3.0
701,14.0,14.0,2.5
702,14.0,15.0,3.75
703,14.0,17.0,4.0
704,14.0,18.0,3.0
705,14.0,19.0,3.5
706,14.0,20.0,3.15
707,14.0,21.0,3.4
708,14.0,22.0,3.4
709,14.0,23.0,3.2
710,14.0,24.0,3.7
711,14.0,25.0,3.95
712,14.0,26.0,3.8
713,14.0,27.0,4.0
714,14.0,28.0,3.5
715,14.0,29.0,3.25
716,14.0,30.0,3.15
717,14.0,31.0,3.0
718,14.0,32.0,4.2
719,14.0,33.0,2.65
720,14.0,34.0,3.2
721,14.0,35.0,3.0
722,14.0,36.0,3.15
723,14.0,37.0,3.6
724,14.0,38.0,2.65
725,14.0,39.0,3.55
726,14.0,40.0,3.95
727,14.0,41.0,2.7
728,14.0,42.0,2.65
729,14.0,43.0,3.25
730,14.0,44.0,3.65
731,14.0,45.0,4.5
732,14.0,46.0,3.35
733,14.0,47.0,4.15
734,14.0,48.0,4.0
735,14.0,49.0,4.45
736,14.0,51.0,4.4
737,15.0,0.0,2.5
738,15.0,1.0,3.0
739,15.0,2.0,3.5
740,15.0,3.0,3.0
741,15.0,4.0,2.5
742,15.0,5.0,2.5
743,15.0,6.0,2.5
744,15.0,7.0,3.8
745,15.0,8.0,4.0
746,15.0,9.0,2.65
747,15.0,10.0,1.0
748,15.0,13.0,3.0
749,15.0,14.0,3.15
750,15.0,15.0,3.4
