,IDSV,IDMON,DIEM
806,20.0,12.0,4.5
807,20.0,13.0,3.5
808,20.0,14.0,3.5
809,20.0,15.0,3.75
810,20.0,17.0,3.9
811,20.0,18.0,2.9
812,20.0,19.0,3.75
813,20.0,20.0,2.65
814,20.0,21.0,3.4
815,20.0,22.0,4.05
816,20.0,23.0,3.3
817,20.0,24.0,4.05
818,20.0,25.0,3.5
819,20.0,26.0,3.5
820,20.0,27.0,3.75
821,20.0,28.0,3.15
822,20.0,29.0,3.15
823,20.0,30.0,2.8
824,20.0,31.0,2.65
825,20.0,32.0,3.35
826,20.0,33.0,3.5
827,20.0,34.0,3.3
828,20.0,35.0,3.3
829,20.0,36.0,3.85
830,20.0,37.0,4.35
831,20.0,38.0,2.95
832,20.0,39.0,3.75
833,20.0,40.0,3.5
834,20.0,41.0,2.5
835,21.0,0.0,3.0
836,21.0,1.0,3.5
837,21.0,2.0,3.5
838,21.0,3.0,3.5
839,21.0,4.0,3.65
840,21.0,6.0,4.15
841,21.0,7.0,3.05
842,21.0,8.0,3.5
843,21.0,9.0,4.0
844,21.0,10.0,3.0
845,21.0,11.0,3.5
846,21.0,12.0,4.0
847,21.0,13.0,3.0
848,21.0,14.0,3.0
849,21.0,15.0,3.25
850,21.0,17.0,3.65
851,21.0,18.0,2.75
852,21.0,19.0,3.0
853,21.0,20.0,3.25
854,21.0,21.0,3.0
855,21.0,22.0,3.05
856,21.0,23.0,3.55
857,21.0,24.0,3.7
858,21.0,25.0,3.9
859,21.0,26.0,3.65
860,21.0,27.0,3.75
861,21.0,29.0,3.65
862,21.0,30.0,2.6
863,21.0,31.0,3.5
864,21.0,32.0,3.7
865,21.0,33.0,3.65
866,21.0,34.0,2.95
867,21.0,35.0,3.1
868,21.0,36.0,3.8
869,21.0,37.0,3.0
870,21.0,38.0,3.15
871,21.0,39.0,3.5
872,21.0,40.0,3.1
873,21.0,41.0,2.55
874,22.0,0.0,3.0
875,22.0,1.0,3.0
876,22.0,2.0,3.5
877,22.0,3.0,4.0
878,22.0,4.0,4.0
879,22.0,6.0,4.0
880,22.0,7.0,3.0
881,22.0,8.0,4.0
882,22.0,9.0,4.0
883,22.0,10.0,3.5
884,22.0,11.0,3.5
885,22.0,12.0,4.5
886,22.0,13.0,3.0
887,22.0,14.0,3.5
888,22.0,15.0,3.9
889,22.0,17.0,3.5
890,22.0,18.0,2.75
891,22.0,19.0,3.25
892,22.0,20.0,2.5
893,22.0,21.0,3.4
894,22.0,22.0,3.95
895,22.0,23.0,3.65
896,22.0,24.0,4.0
897,22.0,25.0,3.95
898,22.0,26.0,3.0
899,22.0,27.0,3.75
900,22.0,28.0,4.15
901,22.0,29.0,3.25
902,22.0,30.0,2.5
903,22.0,31.0,3.15
904,22.0,32.0,3.95
905,22.0,33.0,2.65
906,22.0,34.0,3.35
907,22.0,35.0,3.05
908,22.0,36.0,3.6
909,22.0,37.0,3.15
910,22.0,38.0,3.2
911,22.0,39.0,4.5
912,22.0,40.0,3.35
913,22.0,41.0,3.8
914,23.0,0.0,3.5
